

0,0
1,10
2,20
3,30
4,35
5,40
6,45
7,50
8,55
9,60
10,65
11,68
12,71
13,74
14,77
15,80
16,83
17,86
18,89
19,92
20,95
21,97
22,99
23,101
24,103
25,105
26,107
27,109
28,111
29,113
30,115
31,116
32,117
33,118
34,119
35,120
36,121
37,122
38,123
39,124
40,124
41,125
42,125
43,126
44,127
45,127
46,128
47,128
48,129
49,130
50,130
51,131
52,131
53,132
54,133
55,133
56,134
57,134
58,135
59,136
60,136
61,137
62,137
63,138
64,139
65,139
66,140
67,140
68,141
69,142
70,142
71,143
72,143
73,144
74,145
75,145
76,146
77,146
78,147
79,148
80,148
81,149
82,149
83,150
84,151
85,151
86,152
87,152
88,153
89,154
90,154
91,155
92,155
93,156
94,157
95,157
96,158
97,159
98,159
99,160
100,160
101,161
102,162
103,162
104,163
105,163
106,164
107,165
108,165
109,166
110,166
111,167
112,168
113,168
114,169
115,169
116,170
117,171
118,171
119,172
120,172
121,173
122,174
123,174
124,175
125,175
126,176
127,177
128,177
129,178
130,178
131,179
132,180
133,180
134,181
135,181
136,182
137,183
138,183
139,184
140,184
141,185
142,186
143,186
144,187
145,187
146,188
147,189
148,189
149,190
150,191
151,191
152,192
153,192
154,193
155,194
156,194
157,195
158,195
159,196
160,197
161,197
162,198
163,198
164,199
165,200
166,200
167,201
168,201
169,202
170,203
171,203
172,204
173,204
174,205
175,206
176,206
177,207
178,207
179,208
180,209
181,209
182,210
183,210
184,211
185,212
186,212
187,213
188,213
189,214
190,215
191,215
192,216
193,216
194,217
195,218
196,218
197,219
198,219
199,220
200,221
201,221
202,222
203,223
204,223
205,224
206,224
207,225
208,226
209,226
210,227
211,227
212,228
213,229
214,229
215,230
216,230
217,231
218,232
219,232
220,233
221,233
222,234
223,235
224,235
225,236
226,236
227,237
228,238
229,238
230,239
231,239
232,240
233,241
234,241
235,242
236,242
237,243
238,244
239,244
240,245
241,245
242,246
243,247
244,247
245,248
246,248
247,249
248,250
249,250
250,251
251,251
252,252
253,253
254,253
255,254
