XXXXXXX
index,value
797,234
798,234
799,234
800,234
801,234
802,234
803,234
804,235
805,235
806,235
807,235
808,235
809,235
810,235
811,235
812,235
813,235
814,235
815,235
816,236
817,236
818,236
819,236
820,236
821,236
822,236
823,236
824,237
825,237
826,237
827,237
828,237
829,237
830,237
831,237
832,237
833,237
834,237
835,237
836,238
837,238
838,238
839,238
840,238
841,238
842,238
843,238
844,238
845,238
846,238
847,238
848,239
849,239
850,239
851,239
852,239
853,239
854,239
855,239
856,240
857,240
858,240
859,240
860,240
861,240
862,240
863,240
864,240
865,240
866,240
867,240
868,241
869,241
870,241
871,241
872,241
873,241
874,241
875,241
876,241
877,241
878,241
879,241
880,242
881,242
882,242
883,242
884,242
885,242
886,242
887,242
888,243
889,243
890,243
891,243
892,243
893,243
894,243
895,243
896,243
897,243
898,243
899,243
900,244
901,244
902,244
903,244
904,244
905,244
906,244
907,244
908,244
909,244
910,244
911,244
912,245
913,245
914,245
915,245
916,245
917,245
918,245
919,245
920,246
921,246
922,246
923,246
924,246
925,246
926,246
927,246
928,246
929,246
930,246
931,246
932,247
933,247
934,247
935,247
936,247
937,247
938,247
939,247
940,247
941,247
942,247
943,247
944,248
945,248
946,248
947,248
948,248
949,248
950,248
951,248
952,249
953,249
954,249
955,249
956,249
957,249
958,249
959,249
960,249
961,249
962,249
963,249
964,250
965,250
966,250
967,250
968,250
969,250
970,250
971,250
972,250
973,250
974,250
975,250
976,251
977,251
978,251
979,251
980,251
981,251
982,251
983,251
984,252
985,252
986,252
987,252
988,252
989,252
990,252
991,252
992,252
993,252
994,252
995,252
996,253
997,253
998,253
999,253
1000,253
1001,253
1002,253
1003,253
1004,253
1005,253
1006,253
1007,253
1008,254
1009,254
1010,254
1011,254
1012,254
1013,254
1014,254
1015,254
1016,255
1017,255
1018,255
1019,255
1020,255
1021,255
1022,255
1023,255
